image_path,maira_report,status,error,prompt,radgraph_rg_e,radgraph_rg_er,radgraph_rg_bar_er
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/100_1.jpg,The heart size is normal. The hilar and mediastinal contours are normal. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,Frontal and lateral views of the chest were obtained. There is mild basilar atelectasis without definite focal consolidation. No pleural effusion or pneumothorax is seen. The aorta is tortuous. The cardiac silhouette is top normal. No overt pulmonary edema is seen. No displaced fracture is identified.,0.2424242424242424,0.2424242424242424,0.17142857142857143
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/100_2.jpg,The heart size is top normal. The mediastinal and hilar contours are unremarkable. There is no pulmonary vascular congestion. Lungs are clear without focal consolidation. No pleural effusion or pneumothorax is identified. No acute osseous abnormality is seen.,ok,,Frontal and lateral views of the chest were obtained. There is mild basilar atelectasis without definite focal consolidation. No pleural effusion or pneumothorax is seen. The aorta is tortuous. The cardiac silhouette is top normal. No overt pulmonary edema is seen. No displaced fracture is identified.,0.27027027027027023,0.21621621621621623,0.20512820512820512
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/100_3.jpg,Study is limited by patient positioning. Heart size is top normal. Mediastinal contours are within normal limits. There is no pulmonary edema. Lungs are clear without focal consolidation. No pleural effusion or pneumothorax is identified. No acute osseous abnormalities are seen.,ok,,Frontal and lateral views of the chest were obtained. There is mild basilar atelectasis without definite focal consolidation. No pleural effusion or pneumothorax is seen. The aorta is tortuous. The cardiac silhouette is top normal. No overt pulmonary edema is seen. No displaced fracture is identified.,0.4736842105263158,0.4210526315789474,0.35000000000000003
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/100_4.jpg,The heart size is normal. The hilar and mediastinal contours are normal. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,Frontal and lateral views of the chest were obtained. There is mild basilar atelectasis without definite focal consolidation. No pleural effusion or pneumothorax is seen. The aorta is tortuous. The cardiac silhouette is top normal. No overt pulmonary edema is seen. No displaced fracture is identified.,0.2424242424242424,0.2424242424242424,0.17142857142857143
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/100_5.jpg,The cardiomediastinal and hilar contours are normal. There is no pleural effusion or pneumothorax. Lungs are well expanded and clear without focal consolidation concerning for pneumonia. Pulmonary vasculature is within normal limits.,ok,,Frontal and lateral views of the chest were obtained. There is mild basilar atelectasis without definite focal consolidation. No pleural effusion or pneumothorax is seen. The aorta is tortuous. The cardiac silhouette is top normal. No overt pulmonary edema is seen. No displaced fracture is identified.,0.34285714285714286,0.28571428571428575,0.20512820512820512
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/101_1.jpg,The heart size is normal. The hilar and mediastinal contours are normal. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,Frontal and lateral views of the chest were obtained. The heart is of normal size with normal cardiomediastinal contours. Right basilar atelectasis is seen. Lungs is otherwise clear without diffuse abnormality. No pleural effusion or pneumothorax. The osseous structures are unremarkable without evidence of rib fracture. No radiopaque foreign bodies.,0.5789473684210527,0.5789473684210527,0.48780487804878053
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/101_2.jpg,The heart size is normal. The hilar and mediastinal contours are normal. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,Frontal and lateral views of the chest were obtained. The heart is of normal size with normal cardiomediastinal contours. Right basilar atelectasis is seen. Lungs is otherwise clear without diffuse abnormality. No pleural effusion or pneumothorax. The osseous structures are unremarkable without evidence of rib fracture. No radiopaque foreign bodies.,0.5789473684210527,0.5789473684210527,0.48780487804878053
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/101_3.jpg,"Study is limited due to patient positioning. The patient's chin overlies and obscures the right apex. Additionally, the patient's hand overlies and obscures the left lung apex. There is severe dextroscoliosis of the thoracic spine. Heart size appears mildly enlarged. There is no overt pulmonary edema. Right basilar opacification is concerning for infection or aspiration. Left lung base is grossly clear. There is no pneumothorax. A large amount of free intraperitoneal air is noted under the right hemidiaphragm.",ok,,Frontal and lateral views of the chest were obtained. The heart is of normal size with normal cardiomediastinal contours. Right basilar atelectasis is seen. Lungs is otherwise clear without diffuse abnormality. No pleural effusion or pneumothorax. The osseous structures are unremarkable without evidence of rib fracture. No radiopaque foreign bodies.,0.18867924528301885,0.18181818181818182,0.13333333333333333
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/101_4.jpg,The heart size is mildly enlarged. The hilar and mediastinal contours are normal. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,Frontal and lateral views of the chest were obtained. The heart is of normal size with normal cardiomediastinal contours. Right basilar atelectasis is seen. Lungs is otherwise clear without diffuse abnormality. No pleural effusion or pneumothorax. The osseous structures are unremarkable without evidence of rib fracture. No radiopaque foreign bodies.,0.55,0.55,0.4090909090909091
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/101_5.jpg,The heart size is normal. The hilar and mediastinal contours are normal. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,Frontal and lateral views of the chest were obtained. The heart is of normal size with normal cardiomediastinal contours. Right basilar atelectasis is seen. Lungs is otherwise clear without diffuse abnormality. No pleural effusion or pneumothorax. The osseous structures are unremarkable without evidence of rib fracture. No radiopaque foreign bodies.,0.5789473684210527,0.5789473684210527,0.48780487804878053
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/102_1.jpg,The heart size is normal. The hilar and mediastinal contours are normal. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,"With exception of mild bibasilar atelectasis, the lungs are normally expanded without focal opacity to suggest pneumonia. Heart size is mildly enlarged. The mediastinal and hilar contours are unchanged. There is no pleural effusion or pneumothorax. The aorta is unfolded and tortuous.",0.4210526315789474,0.4210526315789474,0.38095238095238104
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/102_2.jpg,The heart size is moderately enlarged. The mediastinal and hilar contours are unremarkable. Lungs are clear and the pulmonary vascularity is normal. No pleural effusion or pneumothorax is present. No acute osseous abnormality is seen.,ok,,"With exception of mild bibasilar atelectasis, the lungs are normally expanded without focal opacity to suggest pneumonia. Heart size is mildly enlarged. The mediastinal and hilar contours are unchanged. There is no pleural effusion or pneumothorax. The aorta is unfolded and tortuous.",0.380952380952381,0.380952380952381,0.391304347826087
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/102_3.jpg,The heart size is mildly enlarged. The mediastinal and hilar contours are unremarkable. There is no pulmonary edema. Focal opacity in the left lung base is concerning for pneumonia. The right lung is clear. No pleural effusion or pneumothorax is identified. No acute osseous abnormality is seen.,ok,,"With exception of mild bibasilar atelectasis, the lungs are normally expanded without focal opacity to suggest pneumonia. Heart size is mildly enlarged. The mediastinal and hilar contours are unchanged. There is no pleural effusion or pneumothorax. The aorta is unfolded and tortuous.",0.30434782608695654,0.30434782608695654,0.3137254901960784
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/102_4.jpg,The heart size is moderately enlarged. The mediastinal and hilar contours are unremarkable. The pulmonary vascularity is normal. The lungs are clear. No pleural effusion or pneumothorax is present. No acute osseous abnormality is seen.,ok,,"With exception of mild bibasilar atelectasis, the lungs are normally expanded without focal opacity to suggest pneumonia. Heart size is mildly enlarged. The mediastinal and hilar contours are unchanged. There is no pleural effusion or pneumothorax. The aorta is unfolded and tortuous.",0.42857142857142855,0.42857142857142855,0.43478260869565216
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/102_5.jpg,The heart size is mildly enlarged. The mediastinal and hilar contours are unremarkable. There is no pulmonary vascular congestion. Lungs are clear without focal consolidation. No pleural effusion or pneumothorax is identified. No acute osseous abnormality is seen.,ok,,"With exception of mild bibasilar atelectasis, the lungs are normally expanded without focal opacity to suggest pneumonia. Heart size is mildly enlarged. The mediastinal and hilar contours are unchanged. There is no pleural effusion or pneumothorax. The aorta is unfolded and tortuous.",0.34146341463414637,0.34146341463414637,0.35555555555555557
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/103_1.jpg,The heart size is normal. The hilar and mediastinal contours are unremarkable. The lungs are clear without evidence of focal consolidations concerning for pneumonia. There is no pleural effusion or pneumothorax. The visualized osseous structures are unremarkable.,ok,,Lordotic positioning. The cardiomediastinal and hilar contours are unremarkable. Possible minimal altectasis in the left lower lobe. No focal infiltrate identified. There is no pleural effusion or pneumothorax.,0.38709677419354843,0.38709677419354843,0.34285714285714286
/data3/scratch/rajiv/cxr_gen_thesis/cxr_gen_diff/outputs/roentgen/atelectasis/103_2.jpg,There is moderate cardiomegaly. The mediastinal and hilar contours are unremarkable. There is no pulmonary edema. Lungs are clear without focal consolidation. No pleural effusion or pneumothorax is identified. There are no acute osseous abnormalities.,ok,,Lordotic positioning. The cardiomediastinal and hilar contours are unremarkable. Possible minimal altectasis in the left lower lobe. No focal infiltrate identified. There is no pleural effusion or pneumothorax.,0.3636363636363636,0.3636363636363636,0.3243243243243243
